stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
203300,知恩院前,知恩院前(南行),A,ちおんいんまえ,Chionin-mae (Chionin Temple),知恩院前,知恩院前,지온인마에,0,1,東
203400,知恩院前,知恩院前(北行),B,ちおんいんまえ,Chionin-mae (Chionin Temple),知恩院前,知恩院前,지온인마에,0,1,東
204310,西大路三条,西大路三条(B),B,にしおおじさんじょう,Nishioji Sanjo,西大路三条,西大路三条,니시오지산조,0,1,右
204320,西大路三条,西大路三条(A),A,にしおおじさんじょう,Nishioji Sanjo,西大路三条,西大路三条,니시오지산조,0,1,右
204400,西大路三条,西大路三条(C),C,にしおおじさんじょう,Nishioji Sanjo,西大路三条,西大路三条,니시오지산조,0,1,右
205100,山ノ内,山ノ内(東行),,やまのうち,Yamanouchi,山之内,山之內,야마노우치,0,1,右
205200,山ノ内,山ノ内(西行),,やまのうち,Yamanouchi,山之内,山之內,야마노우치,0,1,右
206300,庚申前,庚申前(南行),,こうしんまえ,Koshin-mae,庚申前,庚申前,고신마에,0,1,右
206400,庚申前,庚申前(北行),,こうしんまえ,Koshin-mae,庚申前,庚申前,고신마에,0,1,右
207100,竹田浄菩提院町,竹田浄菩提院町(東行),,たけだじょうぼだいいんちょう,Takeda Jobodaiincho,竹田净菩堤院町,竹田淨菩堤院町,다케다조보다이인초,0,1,伏
207200,竹田浄菩提院町,竹田浄菩提院町(西行),,たけだじょうぼだいいんちょう,Takeda Jobodaiincho,竹田净菩堤院町,竹田淨菩堤院町,다케다조보다이인초,0,1,伏
208100,蚕ノ社,蚕ノ社(東行),,かいこのやしろ,Kaikonoyashiro,蚕之社,蠶之社,가이코노야시로,0,1,右
208200,蚕ノ社,蚕ノ社(西行),,かいこのやしろ,Kaikonoyashiro,蚕之社,蠶之社,가이코노야시로,0,1,右
209100,太秦東口,太秦東口(東行),,うずまさひがしぐち,Uzumasa Higashiguchi,太秦东口,太秦東口,우즈마사히가시구치,0,1,右
