stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
150400,二条駅前,二条駅前(北行),B,にじょうえきまえ,Nijo Station,二条站前,二条車站前,니조에키마에,0,1,中
151300,千本旧二条,千本旧二条(南行),,せんぼんきゅうにじょう,Senbon Kyunijo,千本旧二条,千本舊二条,센본큐니조,0,1,上
151410,千本旧二条,千本旧二条(北行北詰),,せんぼんきゅうにじょう,Senbon Kyunijo,千本旧二条,千本舊二条,센본큐니조,0,1,中
151420,千本旧二条,千本旧二条(北行南詰),,せんぼんきゅうにじょう,Senbon Kyunijo,千本旧二条,千本舊二条,센본큐니조,0,1,上
152100,千本丸太町,千本丸太町(A),A,せんぼんまるたまち,Senbon Marutamachi,千本丸太町,千本丸太町,센본마루타마치,0,1,上
152200,千本丸太町,千本丸太町(C),C,せんぼんまるたまち,Senbon Marutamachi,千本丸太町,千本丸太町,센본마루타마치,0,1,中
152300,千本丸太町,千本丸太町(B),B,せんぼんまるたまち,Senbon Marutamachi,千本丸太町,千本丸太町,센본마루타마치,0,1,上
152400,千本丸太町,千本丸太町(D),D,せんぼんまるたまち,Senbon Marutamachi,千本丸太町,千本丸太町,센본마루타마치,0,1,上
153300,千本出水,千本出水(南行),,せんぼんでみず,Senbon Demizu,千本出水,千本出水,센본데미즈,0,1,上
153400,千本出水,千本出水(北行),,せんぼんでみず,Senbon Demizu,千本出水,千本出水,센본데미즈,0,1,上
154310,千本中立売,千本中立売(B),B,せんぼんなかだちうり,Senbon Nakadachiuri,千本中立卖,千本中立賣,센본나카다치우리,0,1,上
154320,千本中立売,千本中立売(A),A,せんぼんなかだちうり,Senbon Nakadachiuri,千本中立卖,千本中立賣,센본나카다치우리,0,1,上
154400,千本中立売,千本中立売(C),C,せんぼんなかだちうり,Senbon Nakadachiuri,千本中立卖,千本中立賣,센본나카다치우리,0,1,上
155100,千本今出川,千本今出川(A),A,せんぼんいまでがわ,Senbon Imadegawa,千本今出川,千本今出川,센본이마데가와,0,1,上
155200,千本今出川,千本今出川(D),D,せんぼんいまでがわ,Senbon Imadegawa,千本今出川,千本今出川,센본이마데가와,0,1,上
155310,千本今出川,千本今出川(C),C,せんぼんいまでがわ,Senbon Imadegawa,千本今出川,千本今出川,센본이마데가와,0,1,上
155320,千本今出川,千本今出川(B),B,せんぼんいまでがわ,Senbon Imadegawa,千本今出川,千本今出川,센본이마데가와,0,1,上
155400,千本今出川,千本今出川(E),E,せんぼんいまでがわ,Senbon Imadegawa,千本今出川,千本今出川,센본이마데가와,0,1,上
156100,上七軒,上七軒(C),C,かみしちけん,Kamishichiken,上七轩,上七軒,가미시치켄,0,1,上
156200,上七軒,上七軒(B),B,かみしちけん,Kamishichiken,上七轩,上七軒,가미시치켄,0,1,上
156300,上七軒,上七軒(A),A,かみしちけん,Kamishichiken,上七轩,上七軒,가미시치켄,0,1,上
157100,北野天満宮前,北野天満宮前(東行),B,きたのてんまんぐうまえ,Kitano Tenmangu-mae (Kitano-tenmangu Shrine),北野天满宫前,北野天滿宮前,기타노텐만구마에,0,1,上
